file,category,reason,blocking_before_production
lib/core/event_center/atlas_event_log_service.dart,local_history_cache,Histórico/cache derivado local; não é cadastro pecuário oficial.,False
lib/core/foundation/atlas_foundation_repository.dart,offline_runtime,Infraestrutura local de contingência/sincronização.,False
lib/core/operational_intelligence/action_plan/atlas_action_attention_preferences.dart,device_preference,Preferência/estado visual do dispositivo.,False
lib/core/operational_intelligence/action_plan/atlas_action_outcome_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_agriculture_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_asset_maintenance_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_climate_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_command_center_action_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_command_center_action_update_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_commercial_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_economic_intelligence_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_esg_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_execution_audit_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_execution_cycle_report_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_execution_meeting_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_execution_weekly_review_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_financial_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_goal_action_link_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_health_intelligence_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_health_strategy_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_inventory_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_meeting_decision_action_link_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_nutrition_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_nutrition_strategy_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_operational_goal_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_pasture_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_pasture_strategy_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_people_management_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_reproductive_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_reproductive_strategy_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/operational_intelligence/action_plan/atlas_team_member_service.dart,advanced_local_planning,Planejamento/inteligência operacional avançada ainda local; não deve ser tratado como fonte oficial V1.,False
lib/core/orchestrator/atlas_orchestrator_repository.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/core/release_candidate/atlas_release_candidate_repository.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/core/system_center/atlas_system_center_repository.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/action_plan/data/services/atlas_action_plan_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/animal/data/services/animal_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_document/data/services/animal_document_storage_service.dart,device_attachment_pending_object_storage,Metadados/anexo permanecem no dispositivo; requer object storage remoto antes da produção multi-dispositivo.,True
lib/features/animal_event/data/services/animal_event_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_health/data/services/animal_health_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_intelligence_360/presentation/screens/animal_intelligence_360_screen.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_movement/data/services/animal_movement_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_nutrition_enterprise/data/services/animal_nutrition_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/animal_operations_center/data/services/animal_operational_task_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_photo/data/services/animal_photo_storage_service.dart,device_attachment_pending_object_storage,Metadados/anexo permanecem no dispositivo; requer object storage remoto antes da produção multi-dispositivo.,True
lib/features/animal_reproduction/data/services/animal_reproduction_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/animal_weight/data/services/animal_weight_storage_service.dart,remote_cache,SharedPreferences funciona como snapshot/cache; a feature possui autoridade remota.,False
lib/features/atlas_advanced_ai/data/services/atlas_advanced_ai_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_ai/data/services/atlas_ai_conversation_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_ai/data/services/atlas_ai_tracked_action_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_auth_sync_enterprise/data/services/atlas_auth_sync_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_auth_sync_enterprise/domain/services/atlas_auth_sync_analytics_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_automation_operations/data/services/atlas_automation_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_autonomous_enterprise/data/services/atlas_autonomous_enterprise_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_backend_foundation/data/services/atlas_backend_foundation_storage_service.dart,offline_runtime,Infraestrutura local de contingência/sincronização.,False
lib/features/atlas_climate_enterprise/data/services/atlas_climate_enterprise_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_cloud_security_enterprise/data/services/atlas_cloud_security_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_commercial_enterprise/data/services/atlas_commercial_enterprise_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_commercial_operations/data/services/atlas_commercial_operation_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
lib/features/atlas_enterprise_50/data/services/atlas_enterprise_storage_service.dart,advanced_local_feature,"Feature avançada mantém dados locais; classificada para evolução posterior, sem confusão com os módulos oficiais V1.",False
